Count Book Word
147 Sense&Sensibility a
25 Sense&Sensibility an
32 Sense&Sensibility this
94 Sense&Sensibility that
59 Sense&Sensibility with
18 Sense&Sensibility without
186 Emma a
26 Emma an
39 Emma this
105 Emma that
74 Emma with
10 Emma without
101 SanditionI a
11 SanditionI an
15 SanditionI this
37 SanditionI that
28 SanditionI with
10 SanditionI without
83 SanditionII a
29 SanditionII an
15 SanditionII this
22 SanditionII that
43 SanditionII with
4 SanditionII without
