"Dose" "Status"
"1.6907" "Died"
"1.6907" "Died"
"1.6907" "Died"
"1.6907" "Died"
"1.6907" "Died"
"1.6907" "Died"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.6907" "Survived"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Died"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7242" "Survived"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Died"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7552" "Survived"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Died"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
"1.7842" "Survived"
