author,content
洪适,"报答风光思更新。
安排好语续阳春。
罗胸玉藻英华别，信手银钩点画匀。
歌妙曲，想光尘。
相望尺五叹参辰。
曲终强对红颜笑，欠我高谈惊座人。"
王之道,"春到衡门病滞苏。
力强犹可驾柴车。
少年狂望一时无。
清坐不堪肌起粟，高谈还喜唾成珠。
红裙痴笑雪如须。"
赵长卿,"小春天气。
未唱阳关心已醉。
红蓼秋容。
後会何时得再逢。
归期好事。
仰看皇州扬雨露。
百里恩波。
拟欲留公无奈何。"
赵文,"寒泉溅雪，有环佩隐隐，飞度霜月。
易水风寒，壮士悲歌，关山万里离别。
杨花浩荡晴空转，又化作、云鸿霜鹘。
耿石壕，夜久无言寂历，如闻幽咽。
云谷山人老矣，江空又岁晚，相对愁绝。
玉立长身，自是胎仙，舞我黄庭三叠。
人间只惯丁当字，妙处在、一声清拙。
待明朝、试拂菱花，老我一簪华发。"
晁端礼,"碧桃花，春婉娩。
未断尘缘，暂别瑶池宴。
谪限迢迢应未满。
乘月骖鸾，曾有深深愿。
帝城赊，凤楼远。
长寿杯深，此际谁人劝。
闷倚屏山凝泪眼。
百和烟中，细想千娇面。"
赵长卿,"叶底蜂衙催日晚。
向晚匀妆，巧画宫眉浅。
翠幕无风香自远。
金船酌酒须教满。
未说别离魂已断。
雨幌云屏，只恐良宵短。
心事不随飞絮乱。
宦情肯把恩情换。"
周邦彦,"嗟乌兔。
正茫茫、相催无定，只恁东生西没，半均寒暑。
昨见花红柳绿，处处林茂。
又睹霜前篱畔，菊散馀香，看看又还秋暮。
忍思虑。
念古往贤愚，终归何处。
争似高堂，日夜笙歌齐举。
选甚连宵彻昼，再三留住。
待拟沈醉扶上马，怎生向、主人未肯交去。"
赵彦端,"榴花五月眼边明。
角簟流冰午梦清。
江上扁舟停画桨，云间一笑濯尘缨。
主人杯酒留连意，倦客关河去住情。
都付驿亭今日水，伴人东去到江城。"
赵善括,"扬辉璧月，照层台缥缈，篷莱云气。
玉宇清明仙语近，多少怨红愁翠。
问我殷勤，几年尘土，依旧高标致。
广寒别後，与谁曾共幽会。
一日失脚人间，十常八九，底事如人意。
狗苟蝇营真可笑，何乃比余於是。
风月佳时，江山好处，无复怀愁悴。
倚栏舒啸，六经时自心醉。"
黄机,"芽鼓声中，又妆点、千红万绿。
春试手，银花影粲，雪梅香馥。
归梦不知家近远，飞帆正挂天西北。
记年时、歌舞绮罗丛，凭谁续。
烟水迥，云山簇。
劳怅望，伤追逐。
把蛛丝鹊喜，意□占卜。
月正圆时羞独照，夜偏长处怜孤宿。
悔从前、轻被利名牵，征尘扑。"
晏几道,"一分残酒霞，两点愁蛾晕。
罗幕夜犹寒，玉枕春先困。
心情翦彩慵，时节烧灯近。
见少别离多，还有人堪恨。"
洪适,"正月到盘洲，解冻东风至。
便有浴鸥飞，时见潜鳞起。
高柳送青来，春在长林里。
绿萼一枝梅，端是花中瑞。"
欧阳修,"翠袖娇鬟舞石州。
两行红粉一时羞。
新声难逐管弦愁。
白发主人年未老，清时贤相望偏优。
一尊风月为公留。"
刘克庄,"华发萧萧，归碧鸡坊，出金马门。
把一枝色笔，掷还郭璞，些儿残锦，回乞天孙。
永免朝参，更无宣锁，送老三家水竹村。
休休也，任巫阳来下，未易招魂。
茅檐安得庖阍。
倩便了沽来酒满樽。
叹角巾东路，吾寻初服，上书北阙，子漫危言。
漏院霜靴，火城雪辔，得似先生败絮温。
安危事，付布衣融泰，鼎足膺蕃。"
廖行之,"飞尽林花绿叶丝。
十分春色在荼シ。
多情几日风朝雨，留恋东风未许归。
天意好，与君期。
如今且醉□蛾眉。
明年上国春风里，赏遍名花得意时。"
李之仪,"还是归来，依前问渡。
好风引到经行处。
几声啼鸟又催耕，草长柳暗春将暮。
潦倒无成，疏慵有素。
且陪野老酬天数。
多情惟有面前山，不随潮水来还去。"
康与之,"青笺後约无凭据。
误我碧桃花下语。
谁将消息问刘郎，怅望玉溪溪上路。
春来无限伤情绪。
拟欲题红都寄与。
东风吹落一庭花，手把新愁无写处。"
苏轼,"清颖东流，愁目断、孤帆明灭。
宦游处、青山白浪，万重千叠。
孤负当年林下意，对床夜雨听萧瑟。
恨此生、长向别离中，添华发。
一尊酒，黄河侧。
无限事，从头说。
相看恍如昨，许多年月。
衣上旧痕馀苦泪，眉间喜气添黄色。
便与君、池上觅残春，花如雪。"
晏殊,"海上蟠桃易熟，人间好月长圆。
惟有掰钗分钿侣，离别常多会面难。
此情须问天。
蜡烛到明垂泪，熏炉尽日生烟。
一点凄凉愁绝意，谩道秦筝有剩弦。
何曾为细传。"
廖行之,"音信西来，匆匆思作东归计。
别怀萦系。
为个人留滞。
尊酒团栾，莫惜通宵醉。
还来未。
满期君至。
只在初三四。"
范成大,"白玉堂前绿绮疏。
烛残歌罢困相扶。
问人春思肯浓无。
梦里粉香浮枕簟，觉来烟月满琴书。
个浓情分更何如。"
陈著,"纶巾古貌尘寰表。
风流处、别是英雄才调。
胸次著乾坤，触景皆诗料。
金碧楼台新筑就，傍翠麓、旋添花草。
仙棹。
更逍遥来访，十洲三岛。
遮眼富贵人多，算如公有子，人间应少。
看膝下功名，共月林清皎。
象简绯袍亲侍策，且胜赏、先春独笑。
都道。
馆中书就养，云翘偕老。"
张炎,"海山缥缈。
算人间自有，移来蓬岛。
一粒粟中生倒景，日月光融丹灶。
玉洞分春，雪巢不夜，心寂凝虚照。
鹤溪游处，肯将琴剑同调。
休问挂树瓢空，窗前清意，赢得不除草。
只恐渔郎曾误入，翻被桃花一笑。
润色茶经，评量山水，如此闲方好。
神仙陆地，长房应未知道。"
刘辰翁,"点点疏林欲雪天。
竹篱斜闭自清妍。
为伊憔悴得人怜。
欲与那人携素手，粉香和泪落君前。
相逢恨恨总无言。"
仇远,"漠漠河桥柳外，门巷镫初。
笙歌饮散醉相扶。
明月伴人归去。
娃馆深藏云木，女墙斜掠烟芜。
水天空阔见西湖。
鹤立夜寒多处。"
陈克,"寻遍石亭春，黯黯暮山明灭。
竹外小溪深处，倚一枝寒月。
淡云疏雨苦无情，得折便须折。
醉帽凤鬟归去，有馀香愁绝。"
周密,"虹雨霉风，翠萦苹渚，锦翻葵径。
正小亭、曲沼幽深，簟枕梦回，苔色槐阴清润。
暗忆兰汤初洗玉，衬碧雾笼绡垂蕙领。
轻妆了，袅凉花绛缕，香满鸾镜。
人闲午迟漏永。
看双燕将雏穿藻井。
喜玉壶无暑，凉涵荷气，波摇帘影。
画舸西湖浑如旧，又菰冷蒲香惊梦醒。
归舟晚，听谁家、紫箫声近。"
史浩,"远岫数堆苍玉髻。
平湖千顷碧琉璃。
笙歌催我上船时。
载月有如浮玉鉴，采莲还复拥燕脂。
更於何处觅瑶池。"
陆游,"陌上箫声寒食近。
雨过园林，花气浮芳润。
千里斜阳锺欲瞑。
凭高望断南楼信。
海角天涯行略尽。
三十年间，无处无遗恨。
天若有情终欲问。
忍教霜点相思鬓。"
陆游,"闷已萦损。
那堪多病。
几曲屏山，伴人昼静。
梁燕催起犹慵。
换熏龙。
新愁旧恨何时尽。
渐凋绿鬓。
小雨知花信。
芳笺寄与何处，绣阁珠栊。
柳阴中。"
欧阳修,"刘郎何日是来时。
无心云胜伊。
行云犹解傍山飞。
郎行去不归。
强匀画，又芳菲。
春深轻薄衣。
桃花无语伴相思。
阴阴月上时。"
沈端节,"冰池轻皱。
喜寒律乍回，微阳初透。
岁晚云黄，日晴烟暖，昼刻暗添宫漏。
山色岸容都变，春意欲传官柳。
最好处，正酥融粉薄，一枝梅瘦。
行乐，春渐近，景胜欢长，幼眇丝簧奏。
鸣玉行，退朝花院，犹有御香沾袖。
试问西邻虽富，何似东皋依旧。
趁未老，便优游林壑，围棋把酒。"
侯置,"客里忽忽梦帝州。
故人相遇一杯休。
疏梅些子最清幽。
双绾香螺春意浅，缓歌金缕楚云留。
不知妆镜若为俦。"
朱敦儒,"枕海山横，陵江潮去，雉堞秋风残照。
闲寻桂子，试听菱歌，湖上晚来凉好。
几处兰舟，采莲游女，归去隔花相恼。
奈长安不见，刘郎已老，暗伤怀抱。
谁信得、旧日风流，如今憔悴，换却五陵年少。
逢花倒，遇酒坚辞，常是懒歌慵笑。
除奉天威，扫平狂虏，整顿乾坤都了。
共赤松携手，重骑明月，再游蓬岛。"
夏元鼎,"达磨西来说道，十年面壁安丹。
争知水火不交煎。
因果谩成罗汉。
仰箭射空力尽，依然坠地何言。
虚空拶破强参禅。
肯把金丹烧炼。"
吴潜,"红药将残，绿荷初展。
森森竹里闲庭院。
一炉香烬一瓯茶，隔墙听得黄鹂啭。
陌上春归，水边人远。
尽将前事思量遍。
流光冉冉为谁忙，小桥伫立斜阳晚。"
侯置,"露英云萼一般清。
揉雪更雕琼。
预喜重阳登览，大家插帽浮觥。
分香减翠，殷勤远寄，珍重多情。
不似绮窗双艳，向人解语倾城。"
辛弃疾,"造物故豪纵，千里玉鸾飞。
等闲更把，万斛琼粉盖颇黎。
好卷垂虹千丈，只放冰壶一色，云海路应迷。
老子旧游处，回首梦耶非。
谪仙人，鸥鸟伴，两忘机。
掀髯把酒一笑，诗在片帆西。
寄语烟波旧侣，闻道莼鲈正美，休制芰荷衣。
上界足官府，汗漫与君期。"
吴文英,"入眼青红，小玲珑、飞檐度云微湿。
绣槛展春，金屋宽花，谁管采菱波狭。
翠深知是深多少，不都放、夕阳红入。
待装缀，新漪涨翠，小圜荷叶。
此去春风满箧。
应时锁蛛丝，浅虚尘榻。
夜雨试灯，晴雪吹梅，趁取玳簪重盍。
卷帘不解招新燕，春须笑、酒悭歌涩。
半窗掩，日长困生翠睫。"
张孝祥,"油幢画戟。
玉铉调春色。
勋阀诸郎俱第一。
风流前辈敌。
玉人双华х。
翠云深处消摇。
有客留君东阁，时闻风下笙箫。"
吴文英,"堕虹际。
层观翠冷玲珑，五云飞起。
玉虬萦结城根，澹烟半野，斜阳半市。
瞰危睇。
门巷去来车马，梦游宫蚁。
秦鬟古色凝愁，镜中暗换，明眸皓齿。
东海青桑生处，劲风吹浅，瀛洲清。
山影泛出琼壶，碧树人世。
枪芽焙绿，曾试云根味。
岩流溅、涎香惯搅，娇龙春睡。
露草啼清泪。
酒香断到，文丘废隧。
今古秋声里。
情漫黯、寒鸦孤村流水。
半空画角，落梅花地。"
吕渭老,"晓参垂户宿酲醒。
坐南亭。
对疏星。
点点萤光，偏向竹梢明。
望断长空何处是，云叶乱，彩霞横。
西楼依旧抱重城。
小银屏。
此时情。
鸦阵翻丛，枯柳两三声。
枕欲寻初夜梦，鸡唱远，晓蟾倾。"
吴文英,"衣白苎，雪面堕愁鬟。
不识朝云行雨处，空随春梦到人间。
留向画图看。
慵临镜，流水洗花颜。
自织苍烟湘泪冷，谁捞明月海波寒。
天澹雾漫漫。"
吕胜己,"芳思切，旧事不堪重说。
浓露凝香花喷血。
花心双蛱蝶。
燕语莺啼都歇。
又过清明时节。
记得离歌三两阕。
未歌先哽咽。"
