content,label
瑞日初迟，绪风乍暖，千花百草争香。瑶池路稳，阆苑春深，云树水殿相望。柳曲沙平，看尘随青盖，絮惹红妆。卖酒绿阴傍。无人不醉春光。有十里笙歌，万家罗绮，身世疑在仙乡。行乐知无禁，五侯半隐少年场。舞妙歌妍，空妒得、莺娇燕忙。念芳菲、都来几日，不堪风雨疏狂。,写景抒情
荆溪清晓。问昨夜南枝，几分春到。一点幽芳，不待陇头音耗。亭亭水边月下，胜人间、等闲花草。此际风流谁似，有窝诗老。向虚檐、淡然索笑。任雪压霜欺，精神越好。最喜庭除，下映紫兰娇小。孤山好寻旧约，况和羹、用功宜早。移傍玉阶深处，趁天香缭绕。,写景抒情
雪压小桥溪路断。独立无言，雾鬓风鬟乱。拂拭冰霜君试看。一枝堪寄天涯远。拟向南邻寻酒伴。折得花归，醉著歌声缓。姑射梦回星斗转。依然月下重相见。,送别题赠
天末残霞卷暮红。波间时见没凫翁。斜风细雨家何在，老矣生涯尽个中。惟此意，与公同。未须持酒祝牛宫。旁人不解轻蓑意，犹说黄金宝带重。,人生感怀
春又老。愁似落花难扫。一醉一回才忘了。醒来还满抱。此恨欲凭谁道。柳外数声啼鸟。只恐春风吹不到。断云连碧草。,思妇闺怨
白雪梨花红粉桃。露华高。垂杨慢舞绿丝绦。草如袍。风过小池轻浪起，似江皋。千金莫惜买香醪。且陶陶。,写景抒情
小院桃花，烟锁几重珠箔。更深後、海棠睡著。东风吹去，落谁家墙角。平白地教人，为他情恶。花若有情，情应不薄。也须悔从前事错。而今夜雨，念玉颜飘泊。知那里人家，怎生顿著。,思妇闺怨
可惜香红。又一番骤雨，几阵狂风。霎时留不往，便夜来和月，飞过帘栊。离愁未了，酒病相仍，便堪此恨中。片片随、流水斜阳去，各自西东。又还是、九十春光，误双飞蝶，并采游峰。人生能几许，细算来何物，得似情浓。沈腰暗减，潘鬓先秋，寸心不易供。望暮云、千里沈沈障翠峰。,人生感怀
暮檐凉薄。疑清风动竹，故人来邈。渐夜久、闲引流萤，弄微照素怀，暗呈纤白。梦远双成，凤笙杳、玉绳西落。掩帷倦入，又惹旧愁，汗香阑角。银瓶恨沈断索。叹梧桐未秋，露井先觉。抱素影、明月空闲，早尘损丹青，楚山依约。翠冷红衰，怕惊起、西池鱼跃。记湘娥、绛绡暗解，褪花坠萼。,思妇闺怨
苦春宵漏短，梦回晚、酒醒迟。正小雨初收，馀寒未放，怯试单衣。娇痴。最尤处，被罗襟、印了宿妆眉。潇洒春工斗巧，算来不在花枝。芳菲。正好踏春，携素手、暂分飞。料恨月愁花，多应瘦损，风柳腰肢。归期。况春未老，过南园、尚及牡丹时。拼却栏边醉倒，共伊插满头归。,写景抒情
心事知谁许。政吾曹、辞弄翰，邀凉蠲暑。节物於人俱可喜，今夕渠偏媚妩。笑曝腹、书生风度。河鼓天孙非世俗，纵惊云、急雨休轻诉。忆倾盖，便如故。良辰欢意宽离绪。称仙家、瑶台缥缈，霓裳掀举。应想尘寰空怅望，月路谁曾隔阻。是处有、绮窗朱户。我爱五湖烟水阔，待扁舟，寻到机处。访婺女，共女。,送别题赠
玉奴招手。来看前山琼琢就。透骨侵肤。似恁清寒更有无。春工纵巧。只许梅花称独妙。花底逢人。逐马银杯误认真。,写景抒情
要相逢。恰相逢。画舫朱帘脉脉中。霎时烟霭重。怨东风。笑东风。落花飞絮两无踪。分付与眉峰。,送别题赠
朱门映柳画帘垂。门前闻马嘶。主人新著绿袍归。天恩下玉墀。凭翠袖，拈花枝。劝教人醉时。请君听唱碧云词。倒倾金屈卮。,送别题赠
乐事无过新岁，生辰恰占元宵。湄湘台下有欢谣。令尹风流年少。暂借牛刀凫，宜参豹尾鸡翘。政成三异合归朝。试目天边紫诏。,咏史怀古
佛赞西方经现在。广长舌相三千界。为要众生生信解。临终迈。不修净业犹何待。七宝池塘波一派。莲华朵朵车轮大。华内托生真自在。分三辈。阿跋致长无退。,咏史怀古
隐隐轻雷，雨声不受春回护。落梅如许。吹尽墙边去。春水无情，碍断溪南路。凭谁诉。寄声传语。没个人知处。,送别题赠
蘅皋向晚舣轻航。卸云帆、水驿鱼乡。当暮天、霁色如晴昼，江练静、皎月飞光。那堪听、远村羌管，引离人断肠。此际浪萍风梗，度岁茫茫。堪伤。朝欢暮宴，被多情、赋与凄凉。别来最苦，襟袖依约，尚有馀香。算得伊、鸳衾凤枕，夜永争不思量。牵情处，惟有临歧，一句难忘。,送别题赠
别日常多，会时常少天难晓。正喜花开，又愁花谢，春也似人易老。惨无言、念旧日朱颜，清欢莫笑。便苒苒如云，霏霏似雨，去无音耗。追想墙头梅下，门里桃边，名利为伊都忘了。血写香笺，泪封罗帕，记三日、离肠恨搅。如今事，十二楼空凭谁到。此情悄。拟回船、武陵路杳。,送别题赠
蓬山学士文章伯。尊前风味谁能敌。新觅似花人。添成小院春。玉纤呵翠袖。满劝金杯酒。寿酒莫辞斟。酒深人意深。,送别题赠
万籁寂无声。衾铁棱棱近五更。香断灯昏吟未稳，凄清。只有霜华伴月明。应是夜寒凝。恼得梅花睡不成。我念梅花花念我，关情。起看清冰满玉瓶。,思妇闺怨
推枕闻鸡，正怪得、乾坤都白。元是有、福星临照，至和薰出。缘饰夜城疑不夜，弥漫色界成无色。更词、巧欲夺天葩，尤殊特。貂帽拥，寒何力。羔酿举，情何极。欠开樽细挹，梅花标格。十万铁衣冰到骨，祈天只愿王师息。想家童、日办剡中舟，溪头立。,思妇闺怨
趁梅寻得水边枝。独棹渔船却过溪。人似玉，醉如泥。闲歌五色线中诗。,写景抒情
琼妃卧月。任素裳瘦损，罗带重结。石径春寒，碧藓参差，相思曾步芳。离魂分破东风恨，又梦入、水孤云阔。算如今、也厌娉婷，带了一痕残雪。犹记冰奁半掩，冷枝画未就，归棹轻折。几度黄昏，忽到窗前，重想故人初别。苍虬欲卷涟漪去，慢蜕却、连环香骨。早又是，翠荫蒙茸，一似一枝清绝。,思妇闺怨
出墙花，当路柳。借问芳心谁有。红解笑，绿能颦。千般恼乱春。北来人，南去客。朝暮等闲攀折。怜晚秀，惜残阳。情知枉断肠。,写景抒情
傍阶红药，新梢翠竹，榭阁薰风静。维神降岳，维熊占梦，姿仪玉聘。金殿趋庭，禁严衣彩，寝门温清。是宗藩帝子，天潢宝牒，当神武、侍明廷。为善先知最乐，咏诗书、存存成性。亲师讲道，华挥藻，水云高兴。一代荣观，觊尧显舜，古今难并。看青华蕊简，松乔比寿，佐南风政。,咏史怀古
藓干石斜妨，玉蕊松低覆。日暮冥冥一见来，略比年时瘦。凉观酒初醒，竹阁吟才就。犹恨幽香作许悭，小迟春心透。,写景抒情
